text,true_emotion,0,1,5,correct_0,correct_1,correct_5,improved_with_more_examples,always_wrong,got_worse
#Awareness seek #shelter .#Letgo Old #habit of chasing #desires resultin in #anger #fear #worry .#Choose #Satisfaction within #Peace #Relax,fear,anger,fear,fear,False,True,True,True,False,False
"#twitter #users Tweeting on twitter is like playing a game against the computer. Where's the life, Everyone too #afraid to say something?",fear,fear,fear,fear,True,True,True,False,False,False
"(Sam) Brown's Law: Never offend people with style when you can fake that, you have to break us in this Island.",anger,anger,anger,anger,True,True,True,False,False,False
"...at your age, the heyday in the blood is tame...' @TheArtofCharm #shakespeareaninsults #hamlet #elizabethan #williamshakespeare",joy,anger,joy,anger,False,True,False,True,False,True
@1johndes ball watching &amp; Rojo'd header was equally dreadful!!,sadness,anger,anger,anger,False,False,False,False,True,False
@ArcticFantasy I would have almost took offense to this if I actually snapped you,anger,joy,anger,anger,False,True,True,True,False,False
@Barcabhoy1 Of course not. Didn't sink his studs into a knee like Forrester,sadness,anger,anger,anger,False,False,False,False,True,False
@CesarSampao @thisisbolton don't get me started on town centre. Used to go every week.... not been for 18 months ,fear,sadness,sadness,sadness,False,False,False,False,True,False
@DJ_JeanFranko growl!!!,anger,anger,anger,anger,True,True,True,False,False,False
@DailyMirror i love how theres no outrage that it's a white man but if it was a black man them BLM would be all over it regardless of reason,anger,joy,anger,anger,False,True,True,True,False,False
"@DxfyingGrxvity - frustration, looking up at Elphaba in a frown of aggravation. Her high pitched voice was growing more and more --",anger,anger,anger,anger,True,True,True,False,False,False
"@Geminiak @LondonNPC you're welcome! #wordgeek \nAlso, good to put a face to the twitter feed, even if it was only a cheery hello! 😀",joy,joy,joy,joy,True,True,True,False,False,False
@GigaFag @pipertownsend_ snapchat new would beg to differ ,joy,joy,joy,anger,True,True,False,False,False,True
@GigaFag @pipertownsend_ snapchat new would beg to differ #optimism,joy,joy,joy,joy,True,True,True,False,False,False
@Gronnhair @buryprofs @DittoBistro it was indeed lovely and the team were incredibly attentive and on the ball. Cheese was a lively gesture!,joy,joy,joy,joy,True,True,True,False,False,False
"@KeithOlbermann depressing how despicable Trump, with no policies, campaigning on bigotry &amp; rancour can be so close, evil immoral disaster",sadness,anger,anger,anger,False,False,False,False,True,False
@MacDsmash you should get some @SSB_Swedish delight,joy,joy,joy,joy,True,True,True,False,False,False
"@MaddenFreestyle i turn the game on wanting to play madden, and before i load up a game i just turn it off now.",anger,sadness,sadness,sadness,False,False,False,False,True,False
@OHSOVICTORIOUS_ @FaZeAdapt We all seen it coming.. it's sad. But her Instagram comments on her pics are funny. Adapts fans blew it up 😂😂😂,sadness,joy,sadness,sadness,False,True,True,True,False,False
